Name,Creator,First public release,Latest stable version,Latest Release Date,Programming language,Cost (US$),Software license,Open source,Cli available,Installed size
Acme,Rob Pike,1993,Plan 9 and Inferno,,C,Free,LPL (OSI approved),Yes
AkelPad,"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8,2016-07-18,C,Free,BSD,Yes
Alphatk,Vince Darley,1999,8.3.3,2004-12-10,,$40,"Proprietary, with BSD components",No
Aquamacs,David Reitter,2005,3.3,2016-09-20,"C, Emacs Lisp",Free,GPL,Yes
Atom,GitHub,2014,1.17.2,2017-04-12,"HTML, CSS, JavaScript, C++",Free,MIT,Yes,No
BBEdit,Rich Siegel,1992,11.6.4,2017-02-24,"Objective-C, Objective-C++",$49.99,Proprietary,No
Bluefish,Bluefish Development Team,1999,2.2.10,2017-01-27,C,Free,GPL,Yes
Brackets,Adobe Systems,2012,1.8,2016-11-10,"HTML, CSS, JavaScript, C++",Free,MIT,Yes
Coda,Panic,2007,2.6,2016-12-05,Objective-C,$99,Proprietary,No
ConTEXT,ConTEXT Project Ltd,1999,0.98.6,2009-08-14,Object Pascal (Delphi),Free,BSD,Yes
Crimson Editor,"Ingyu Kang, Emerald Editor Team",1999,3.72,2008-05-14,C++,Free,GPL,Yes
Diakonos,Pistos,2004,0.9.4,2015-01-08,Ruby,Free,MIT,Yes
E Text Editor,Alexander Stigsen,2005,2.0.2,2010-11-30,,$46.95,"Proprietary, with BSD components",No
ed,Ken Thompson,1970,unchanged from original,,C,Free,?,Yes,Yes,"0,04 MB"
EditPlus,Sangil Kim,1998,4.2,2017-01-05,C++,$35,Shareware,No
Editra,Cody Precord,2007,0.7.20,2013-01-05,Python,Free,wxWindows license,Yes
EmEditor,"Emurasoft, Inc.",1997,16.5.0,2017-03-02,,$39.99 1-user,Shareware,No
epsilon,Lugaru Software,1984,13.06,2016-12-06,C,$250,Proprietary,No
gedit,GNU Project,2000,3.22.0,2016-11-23,C,Free,GPL,Yes
